age,income,employment_length,credit_score,num_credit_lines,credit_utilization,debt_to_income,total_debt,savings,loan_amount,loan_term,num_late_payments,num_bankruptcies,inquiries_last_6m,employment_status,home_ownership,loan_purpose,monthly_payment,payment_to_income,default
50,98683,3,725,8,0.4951312514809156,0.12206415275759688,21691,7243,11515,36,2,0,3,retired,mortgage,home_improvement,335,0.040736499701063,0
43,77832,0,537,4,0.3152929587500346,0.02332251724781924,25408,38823,13437,60,2,0,1,employed,mortgage,debt_consolidation,235,0.036231884057971016,0
52,50504,3,651,6,0.6936362792806481,0.08471514484248123,34016,10086,7780,48,0,0,2,retired,mortgage,credit_card,170,0.040392840171075556,0
63,35473,0,704,3,0.35034441007182787,0.09188304984357318,26280,66081,5057,36,1,0,2,self_employed,mortgage,debt_consolidation,147,0.049727962112028866,0
42,69502,11,694,4,0.2149747483385461,0.4571642385226133,18894,20562,29646,60,3,0,3,self_employed,mortgage,medical,518,0.08943627521510172,1
42,59679,20,850,5,0.19136420022472678,0.39030134207198924,64808,3207,10200,48,1,0,1,employed,rent,credit_card,223,0.044839893429849696,0
63,76695,0,707,6,0.037332105875348603,0.2328119383234242,28881,3844,15016,36,0,0,3,unemployed,mortgage,home_improvement,437,0.06837473107764522,0
54,67345,21,599,7,0.4401585421890969,0.32987714838768545,11506,2721,16312,48,1,0,0,employed,other,home_improvement,356,0.06343455341896206,0
39,82849,5,672,5,0.283207841337715,0.4710192939803471,56435,50328,16737,36,3,0,2,self_employed,mortgage,business,488,0.07068280848290263,0
51,37510,2,537,2,0.18012714484191852,0.3143351721736627,13842,4413,5874,24,5,0,0,employed,rent,home_improvement,256,0.08189816049053586,1
39,94721,0,673,6,0.18502876838103435,0.2859854496154639,14434,2446,4133,24,4,0,0,employed,own,debt_consolidation,180,0.022803813304335892,0
39,54111,4,613,4,0.15586011116484394,0.46038821634100857,94285,13090,8847,12,0,0,1,unemployed,mortgage,home_improvement,774,0.17164716970671398,0
47,138362,11,753,2,0.18114917708663794,0.1332415153910693,13945,7004,17623,60,1,0,1,employed,rent,credit_card,308,0.02671253667914601,0
22,34731,8,636,4,0.10398292180034517,0.07274335887429516,5692,12605,8025,48,1,0,1,self_employed,own,home_improvement,175,0.0604647145201693,0
24,116772,0,670,2,0.38052971910315986,0.27741055071660764,59771,100000,10420,48,2,0,2,employed,mortgage,debt_consolidation,227,0.023327510019525228,0
38,54119,0,629,3,0.5095565437277113,0.2531457247444864,28478,31875,59225,36,0,0,1,unemployed,other,debt_consolidation,1727,0.38293390491324675,1
32,35393,3,819,4,0.32176728810143607,0.12265477726335168,30512,8438,3670,60,1,0,2,retired,mortgage,medical,64,0.021699206057695025,0
48,38486,2,654,7,0.30198854442435547,0.42312940708228747,28237,979,7875,48,1,0,1,employed,mortgage,debt_consolidation,172,0.05362989138907655,1
34,41765,1,826,5,0.2798639932703283,0.19094101874741015,43710,3827,50393,60,1,0,1,employed,rent,credit_card,881,0.25313061175625523,0
28,60601,2,745,5,0.052751817365947334,0.16822248837254486,19887,23542,12949,60,3,0,2,self_employed,mortgage,debt_consolidation,226,0.0447517367700203,0
62,63666,11,718,7,0.2805019222585956,0.33933389978162876,118289,1398,8150,24,1,0,1,employed,rent,debt_consolidation,356,0.0671001790594666,0
42,36796,18,709,9,0.22839967382559093,0.18305552554061896,11148,100000,30276,48,1,0,1,employed,own,debt_consolidation,662,0.2158930318512882,0
45,48427,3,711,7,0.42818333259311087,0.03675159455717553,51839,8280,13886,48,1,0,3,employed,other,home_improvement,303,0.07508208230945547,0
